player_name,shot_type,fga,fgm,pps,fg_pct,rate
Dwight Howard,dunk,3164,2951,1.8653603034134008,0.9326801517067004,0.2633155792276964
Shaquille O'Neal,dunk,2813,2665,1.8947742623533594,0.9473871311766797,0.20186580552565483
DeAndre Jordan,dunk,2776,2461,1.7730547550432276,0.8865273775216138,0.4848908296943231
Rudy Gobert,dunk,2491,2295,1.8426334805299076,0.9213167402649538,0.4186554621848739
LeBron James,dunk,2346,2263,1.9292412617220802,0.9646206308610401,0.07671429972858965
Giannis Antetokounmpo,dunk,2332,2178,1.8679245283018868,0.9339622641509434,0.17065495792169777
Anthony Davis,dunk,1967,1813,1.8434163701067616,0.9217081850533808,0.14474942968577525
Tyson Chandler,dunk,1878,1735,1.8477103301384452,0.9238551650692226,0.3148893360160966
Amar'e Stoudemire,dunk,1745,1593,1.8257879656160458,0.9128939828080229,0.15850667635570898
Clint Capela,dunk,1694,1557,1.8382526564344746,0.9191263282172373,0.3009950248756219
Kevin Durant,dunk,1576,1513,1.9200507614213198,0.9600253807106599,0.07505119291394828
Shawn Marion,dunk,1621,1508,1.8605798889574336,0.9302899444787168,0.10767186981069413
Andre Iguodala,dunk,1579,1507,1.90880303989867,0.954401519949335,0.1452621895124195
Andre Drummond,dunk,1631,1432,1.7559779276517473,0.8779889638258737,0.1863361133325717
JaVale McGee,dunk,1525,1423,1.8662295081967213,0.9331147540983606,0.2984344422700587
Kevin Garnett,dunk,1465,1386,1.8921501706484642,0.9460750853242321,0.07178909197824276
Pau Gasol,dunk,1465,1374,1.8757679180887372,0.9378839590443686,0.09314005976222264
Kenyon Martin,dunk,1430,1313,1.8363636363636364,0.9181818181818182,0.17806001743244926
Jarrett Allen,dunk,1443,1264,1.751905751905752,0.875952875952876,0.3177014531043593
Nene,dunk,1332,1226,1.8408408408408408,0.9204204204204204,0.1747802125705288
Mason Plumlee,dunk,1277,1172,1.8355520751761942,0.9177760375880971,0.2794922302473189
Tim Duncan,dunk,1256,1160,1.8471337579617835,0.9235668789808917,0.06176846660765221
Dwyane Wade,dunk,1192,1100,1.8456375838926173,0.9228187919463087,0.06766959977292081
Blake Griffin,dunk,1211,1097,1.8117258464079273,0.9058629232039637,0.11022117047419677
